Cases,Recording Location,Acquisition Mode,Recording Equipment,Diagnosis
7,Al,sc,Meditron,URTI
2,Pr,sc,Meditron,URTI
7,Ar,sc,Meditron,Healthy
1,Ar,mc,LittC2SE,Asthma
9,Al,sc,Litt3200,COPD
10,Ar,sc,Litt3200,COPD
10,Ll,sc,Litt3200,COPD
9,Lr,sc,Litt3200,COPD
11,Pl,sc,Litt3200,COPD
11,Pr,sc,Litt3200,COPD
4,Tc,sc,Meditron,URTI
4,Pl,mc,LittC2SE,COPD
5,Pr,mc,LittC2SE,COPD
102,Al,mc,AKGC417L,COPD
109,Ar,mc,AKGC417L,COPD
53,Ll,mc,AKGC417L,COPD
85,Lr,mc,AKGC417L,COPD
105,Pl,mc,AKGC417L,COPD
100,Pr,mc,AKGC417L,COPD
92,Tc,mc,AKGC417L,COPD
1,Al,sc,Meditron,LRTI
8,Pr,sc,Meditron,COPD
6,Al,sc,Meditron,COPD
3,Ll,sc,Meditron,COPD
7,Lr,sc,Meditron,COPD
4,Tc,sc,Meditron,Bronchiectasis
7,Ar,sc,Meditron,COPD
1,Ar,sc,Meditron,LRTI
1,Pl,sc,Meditron,Bronchiectasis
8,Tc,mc,LittC2SE,COPD
6,Ar,sc,Meditron,URTI
5,Pl,sc,Meditron,COPD
10,Tc,sc,Meditron,Healthy
6,Al,mc,LittC2SE,Pneumonia
8,Ar,mc,LittC2SE,Pneumonia
12,Tc,mc,LittC2SE,Pneumonia
10,Al,sc,Meditron,Healthy
7,Lr,mc,LittC2SE,COPD
11,Al,mc,LittC2SE,COPD
14,Ar,mc,LittC2SE,COPD
4,Pl,mc,LittC2SE,Pneumonia
2,Pr,mc,LittC2SE,Pneumonia
2,Ll,sc,Meditron,URTI
2,Ll,mc,LittC2SE,Pneumonia
5,Al,sc,Meditron,Bronchiolitis
2,Lr,sc,Meditron,Bronchiolitis
4,Pl,sc,Meditron,Bronchiolitis
3,Ll,sc,Meditron,Healthy
2,Pr,sc,Meditron,Healthy
2,Pl,sc,Meditron,URTI
1,Pr,sc,Meditron,Bronchiolitis
4,Al,sc,Meditron,Bronchiectasis
1,Lr,sc,Meditron,Bronchiectasis
1,Ll,sc,Meditron,Bronchiectasis
2,Pl,sc,Meditron,Healthy
1,Lr,sc,Meditron,Healthy
1,Pr,sc,Meditron,Bronchiectasis
2,Ll,mc,LittC2SE,COPD
4,Ar,sc,Meditron,Bronchiectasis
1,Ar,sc,Meditron,Bronchiolitis
1,Al,sc,Meditron,Pneumonia
1,Ll,sc,Meditron,Pneumonia
1,Pl,sc,LittC2SE,Pneumonia
